,,,,Overall,,,,,,,PP,,SH,,Defense,
Player Name,Team,Pos,Games,G,A,Pts,+/-,PIM,SOG,GWG,G,A,G,A,Hits,BS
Kyle Okposo,BUF,RW,29,5,6,11,0,10,50,0,1,0,0,0,20,20
Alex Ovechkin,WAS,LW,25,5,11,16,-2,6,90,0,1,4,0,0,47,7
Brent Burns,CAR,D,27,5,8,13,8,6,63,0,1,4,1,0,7,25
Shayne Gostisbehere,DET,D,26,5,16,21,-5,2,44,1,2,9,0,0,5,25
Ivan Barbashev,VGK,LW,29,5,7,12,10,14,47,1,1,1,0,0,49,20
Jake Walman,DET,D,25,5,7,12,8,22,44,2,1,3,0,1,6,71
Josh Morrissey,WPG,D,26,5,19,24,11,22,63,1,1,7,0,0,19,36
Adam Lowry,WPG,LW,26,5,9,14,9,18,32,1,0,0,1,1,49,20
Sam Carrick,ANH,C,27,5,2,7,0,32,35,0,0,0,1,0,41,12
Brady Skjei,CAR,D,27,5,11,16,2,12,55,1,1,1,1,1,16,30
Mike Matheson,MON,D,28,5,14,19,-9,24,66,0,3,8,0,0,16,55
Morgan Rielly,TOR,D,25,4,15,19,3,0,60,0,1,3,0,0,22,52
Tanner Pearson,MON,LW,27,4,4,8,-5,13,47,0,1,1,0,0,26,18
Ondrej Palat,NJ,LW,26,4,9,13,-2,19,45,0,1,4,0,0,26,16
Brenden Dillon,WPG,D,26,4,4,8,8,38,25,1,0,0,0,0,73,41
Darnell Nurse,EDM,D,25,4,5,9,4,22,60,0,1,1,0,0,51,56
Curtis Lazar,NJ,C,24,4,4,8,4,14,23,2,0,0,1,0,51,21
Johnny Gaudreau,CLS,LW,30,4,11,15,-11,10,64,0,0,5,0,0,1,10
Radko Gudas,ANH,D,26,4,4,8,6,45,35,0,0,0,0,0,65,57
Warren Foegele,EDM,LW,25,4,6,10,-9,6,54,0,0,0,0,1,20,8
Ryan Donato,CHI,C,25,4,6,10,-1,4,49,0,0,0,0,0,27,7
Sonny Milano,WAS,LW,23,4,4,8,-1,6,20,2,0,0,0,0,8,7
Chandler Stephenson,VGK,C,25,4,11,15,-5,17,30,1,1,5,0,1,14,12
Yanni Gourde,SEA,LW,29,4,7,11,-6,35,60,0,0,1,0,0,38,14
Luke Glendening,TB,C,29,4,0,4,-3,8,16,1,0,0,0,0,42,21
Shea Theodore,VGK,D,20,4,14,18,2,0,52,1,2,8,0,0,4,26
Corey Perry,FA,RW,16,4,5,9,-5,12,26,1,1,1,0,0,11,8
Nick Foligno,CHI,LW,27,4,8,12,3,19,52,0,1,1,0,0,55,14
Cal Clutterbuck,NYI,RW,27,4,5,9,0,18,21,0,0,0,0,0,62,21
Casey Cizikas,NYI,C,27,4,5,9,-4,14,25,1,0,0,1,0,44,28
Mattias Ekholm,EDM,D,24,4,6,10,2,16,55,1,2,1,1,0,38,25
Jonathan Huberdeau,CGY,LW,28,4,11,15,-13,6,43,0,1,2,0,0,17,12
Brett Howden,VGK,C,27,4,3,7,1,23,30,0,0,0,1,0,24,16
Taylor Raddysh,CHI,RW,27,4,2,6,-1,8,49,0,1,0,1,0,23,15
Noah Gregor,TOR,C,25,4,1,5,-3,9,47,1,0,0,1,0,47,14
Pius Suter,VAN,LW,15,4,0,4,3,4,23,1,1,0,0,0,9,6
